MATERIAL INFORMATION	
	Material = Hydroxyapatite (powder)
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================	
q (A^-1)	I(q)
===============================================================
0.908277	0.0025326
0.909497	0.00075492
0.910717	-0.00624348
0.911937	0.00143532
0.913157	0.00153576
0.914377	0.0020088
0.915596	0.00278424
0.916816	0.0028728
0.918036	0.00351972
0.919256	0.00453168
0.920475	0.00148176
0.921695	0.00049896
0.922915	0.00397656
0.924134	0.00102816
0.925354	0.00143208
0.926574	0.00235548
0.927793	0.00134784
0.929013	0.00247644
0.930232	0.00227016
0.931452	0.00217404
0.932671	0.00208116
0.933891	0.0023382
0.93511		0.00242892
0.93633		0.0018414
0.937549	0.00140292
0.938768	0.00187704
0.939988	0.0004752
0.941207	0.0022896
0.942426	0.00259524
0.943646	0.00284472
0.944865	0.00170856
0.946084	0.00253152
0.947303	0.002322
0.948523	0.00170316
0.949742	0.0006102
0.950961	0.00073224
0.95218		0.00154116
0.953399	-0.00018684
0.954618	0.00103248
0.955838	0.0015606
0.957057	0.00130464
0.958276	0.00176688
0.959495	0.00090936
0.960714	0.00127008
0.961933	0.00196884
0.963152	0.00154548
0.964371	0.00177984
0.965589	0.00246024
0.966808	0.00133272
0.968027	-0.00076572
0.969246	0.00178092
0.970465	0.00134244
0.971684	0.00182196
0.972903	0.00215136
0.974121	0.00067284
0.97534		0.00269676
0.976559	0.00263628
0.977777	0.0016254
0.978996	0.00102708
0.980215	0.00218376
0.981433	0.00012852
0.982652	0.001593
0.98387		0.00271512
0.985089	0.00288792
0.986308	0.0025866
0.987526	0.00232416
0.988745	0.00275724
0.989963	0.00093528
0.991182	0.0019116
0.9924		0.00246024
0.993618	0.002538
0.994837	0.00057672
0.996055	0.00051948
0.997274	0.0022842
0.998492	0.00245052
0.99971		0.00161352
1.00093		0.00263952
1.00215		0.00128736
1.00337		0.00101952
1.00458		0.00123552
1.0058		-5.724e-05
1.00702		0.0015066
1.00824		0.00168696
1.00946		0.00121284
1.01067		0.00099252
1.01189		0.00229176
1.01311		0.00404244
1.01433		0.00266436
1.01555		0.00305208
1.01676		0.00173448
1.01798		0.001728
1.0192		0.00215568
1.02042		0.0032616
1.02164		0.0027054
1.02285		0.00128088
1.02407		0.00148608
1.02529		0.00073008
1.02651		-0.00060804
1.02772		0.00119772
1.02894		-0.00075276
1.03016		0.00085212
1.03138		0.0003942
1.0326		0.00215352
1.03381		0.00107568
1.03503		0.00093528
1.03625		0.00170424
1.03747		0.00202824
1.03868		-0.00040932
1.0399		0.00040068
1.04112		0.00288144
1.04234		0.00222588
1.04355		0.00087048
1.04477		0.00084456
1.04599		0.00054432
1.0472		0.00050868
1.04842		0.0001782
1.04964		-0.00048924
1.05086		0.00085752
1.05207		0.00105084
1.05329		0.00247428
1.05451		0.00111996
1.05573		0.00061668
1.05694		0.00120096
1.05816		0.00184896
1.05938		0.00117396
1.0606		0.00156384
1.06181		0.0011448
1.06303		0.00090936
1.06425		-0.00519156
1.06546		0.0001728
1.06668		0.00125928
1.0679		0.00104112
1.06911		0.00088452
1.07033		0.00095904
1.07155		0.00141696
1.07277		0.00048816
1.07398		0.00113076
1.0752		0.00146664
1.07642		0.00117072
1.07763		0.0007344
1.07885		0.0016524
1.08007		0.0013824
1.08128		0.00032508
1.0825		0.00244944
1.08372		0.00281448
1.08493		0.00189648
1.08615		0.00136404
1.08737		0.00166968
1.08858		0.00106812
1.0898		0.001566
1.09102		0.00050976
1.09223		0.00074952
1.09345		0.00113508
1.09467		0.00167076
1.09588		0.00157464
1.0971		0.00135216
1.09831		0.00064692
1.09953		0.00148932
1.10075		0.00296136
1.10196		0.00228204
1.10318		0.0016848
1.1044		0.00107352
1.10561		0.00395712
1.10683		0.00105948
1.10804		0.00157356
1.10926		0.00168048
1.11048		0.00265356
1.11169		0.00208764
1.11291		0.00115344
1.11412		0.00168048
1.11534		0.00123984
1.11656		0.0019818
1.11777		0.0019008
1.11899		0.0008262
1.1202		0.00115884
1.12142		-8.424e-05
1.12264		0.00131868
1.12385		0.00183276
1.12507		0.00102276
1.12628		0.00210492
1.1275		0.0023706
1.12872		0.00261576
1.12993		0.00192564
1.13115		0.0006966
1.13236		5.616e-05
1.13358		-0.00097416
1.13479		0.00034668
1.13601		0.00111996
1.13722		0.00069768
1.13844		0.00155844
1.13965		0.00104328
1.14087		0.00164484
1.14209		0.00101196
1.1433		0.00035316
1.14452		0.00171936
1.14573		0.00094824
1.14695		4.644e-05
1.14816		0.00137484
1.14938		-5.616e-05
1.15059		-0.00086292
1.15181		8.964e-05
1.15302		-0.0003078
1.15424		0.000243
1.15545		-1.836e-05
1.15667		-0.00016416
1.15788		4.104e-05
1.1591		0.00027
1.16032		-0.00048168
1.16153		0.0022194
1.16274		0.00159624
1.16396		0.00205416
1.16518		0.00154548
1.16639		-0.00619704
1.1676		0.0014526
1.16882		0.00108216
1.17003		0.001404
1.17125		0.00117936
1.17246		0.00037368
1.17368		0.00084996
1.17489		-0.00092232
1.17611		0.00149472
1.17732		0.0025866
1.17854		0.0030726
1.17975		-0.0051516
1.18097		0.00300024
1.18218		0.00220536
1.1834		0.00262656
1.18461		0.00313524
1.18582		0.00176256
1.18704		0.0019062
1.18825		0.0014634
1.18947		0.00275724
1.19068		0.00274968
1.1919		0.00367848
1.19311		0.00452412
1.19433		0.00483192
1.19554		0.00505656
1.19675		0.00439884
1.19797		0.00379296
1.19918		0.00376272
1.2004		0.00352404
1.20161		0.00268164
1.20283		0.00266976
1.20404		0.00200988
1.20525		0.00276912
1.20647		0.00049896
1.20768		0.00226044
1.2089		-0.0005724
1.21011		-0.00040932
1.21132		-0.000297
1.21254		-0.00046332
1.21375		-0.0006264
1.21496		-0.00081108
1.21618		0.00130788
1.21739		0.00118584
1.21861		-0.00015876
1.21982		0.00035424
1.22103		0.00078732
1.22225		0.00010692
1.22346		0.00197424
1.22467		0.00305748
1.22589		0.00226368
1.2271		0.00143424
1.22831		0.0003942
1.22953		0.00042768
1.23074		0.0008856
1.23195		0.00056268
1.23317		0.00104328
1.23438		0.00132408
1.2356		0.0013554
1.23681		9.072e-05
1.23802		-0.00021168
1.23924		-0.00025812
1.24045		0.00031968
1.24166		-0.0002214
1.24288		0.00038016
1.24409		0.00050004
1.2453		0.00173772
1.24652	-0.00081324
1.24773	-0.001404
1.24894	-0.00054432
1.25015	0.00055512
1.25137	-0.0005562
1.25258	-0.00012852
1.25379	-0.0009234
1.25501	-0.00043416
1.25622	0.00047412
1.25743	0.00016632
1.25864	-3.024e-05
1.25986	-0.000243
1.26107	0.00130248
1.26228	0.00117396
1.2635	0.0014634
1.26471	0.00064908
1.26592	0.00118584
1.26713	-0.00015552
1.26835	-0.00071064
1.26956	-0.00061236
1.27077	-0.00047412
1.27198	-0.0009018
1.2732	-0.00064152
1.27441	-0.00105084
1.27562	-0.00058968
1.27683	-0.00022572
1.27805	-0.00675108
1.27926	0.00036288
1.28047	-0.00013608
1.28168	-0.00039852
1.2829	0.001188
1.28411	0.00127116
1.28532	0.00132732
1.28653	0.00069444
1.28774	0.00013932
1.28896	0.00080892
1.29017	0.00077868
1.29138	0.00089316
1.29259	0.00085212
1.2938	0.00027216
1.29502	0.00216324
1.29623	0.00072144
1.29744	0.00049788
1.29865	0.00013392
1.29986	0.00059292
1.30108	0.0012042
1.30229	1.728e-05
1.3035	0.00125712
1.30471	0.00107568
1.30592	0.00073008
1.30713	0.00020088
1.30835	0.00118476
1.30956	0.000999
1.31077	0.00034452
1.31198	0.00047196
1.31319	3.564e-05
1.3144	0.00203256
1.31562	0.000945
1.31683	0.00035208
1.31804	-0.00044064
1.31925	-0.00021924
1.32046	0.00112644
1.32167	0.00037152
1.32288	3.456e-05
1.32409	-0.00014256
1.32531	0.00154656
1.32652	0.00141048
1.32773	0.000648
1.32894	0.00148608
1.33015	0.00077652
1.33136	0.00050112
1.33257	0.00277128
1.33378	0.00301644
1.33499	0.00114912
1.33621	0.00159084
1.33742	0.00229608
1.33863	0.0021978
1.33984	0.00966924
1.34105	0.00147204
1.34226	0.00216108
1.34347	0.00243216
1.34468	0.00253692
1.34589	0.00162432
1.3471	0.00131112
1.34831	8.424e-05
1.34952	6.048e-05
1.35073	0.00058212
1.35195	-0.0003294
1.35315	0.00052596
1.35437	-0.00081324
1.35558	-0.00096336
1.35679	0.00165456
1.358	0.00110592
1.35921	0.00058104
1.36042	0.00180036
1.36163	0.00247644
