MATERIAL INFORMATION
	Material = King Arthur parchment
	Thickness = 0.006 mm
SAXS INSTRUMENT
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================
q (A^-1)	I(q)
===============================================================
1.37883	0.138753
1.38005	0.15123
1.38127	0.161705
1.38249	0.159244
1.38371	0.141996
1.38493	0.192867
1.38615	0.152832
1.38737	0.145385
1.38859	0.329571
1.38981	0.320973
1.39103	0.308883
1.39225	0.266556
1.39347	0.19371
1.39469	0.159193
1.39591	0.217276
1.39713	0.284166
1.39835	0.211121
1.39957	0.273021
1.40079	0.265184
1.40201	0.256704
1.40323	0.292018
1.40445	0.193066
1.40567	0.294945
1.40689	0.281801
1.40811	0.361327
1.40933	0.263638
1.41055	0.32601
1.41177	0.313981
1.41299	0.313117
1.41421	0.341781
1.41543	0.336973
1.41665	0.238873
1.41787	0.328955
1.41909	0.402972
1.42031	0.393108
1.42153	0.393063
1.42275	0.356245
1.42397	0.216756
1.42519	0.309173
1.42641	0.390698
1.42763	0.399834
1.42885	0.409535
1.43007	0.33578
1.43129	0.509861
1.43251	0.400297
1.43372	0.428855
1.43494	0.271065
1.43616	0.317188
1.43738	0.307581
1.4386	0.341446
1.43982	0.289463
1.44104	0.394271
1.44226	0.411115
1.44348	0.315491
1.4447	0.352427
1.44592	0.396992
1.44713	0.407345
1.44835	0.435454
1.44957	0.450926
1.45079	0.450108
1.45201	0.457643
1.45323	0.486413
1.45445	0.422063
1.45567	0.349899
1.45688	0.335617
1.4581	0.355587
1.45932	0.254702
1.46054	0.32932
1.46176	0.459799
1.46298	0.423808
1.46419	0.494334
1.46541	0.515016
1.46663	0.466752
1.46785	0.472734
1.46907	0.406406
1.47029	0.319846
1.47151	0.452388
1.47272	0.470334
1.47394	0.433896
1.47516	0.343962
1.47638	0.386854
1.4776	0.422808
1.47881	0.42508
1.48003	0.441805
1.48125	0.511706
1.48247	0.339172
1.48368	0.449718
1.4849	0.34909
1.48612	0.484371
1.48734	0.519634
1.48856	0.500643
1.48977	0.509879
1.49099	0.513908
1.49221	0.551182
1.49343	0.475727
1.49464	0.390626
1.49586	0.470808
1.49708	0.493471
1.4983	0.984582
1.49951	0.526215
1.50073	0.472508
1.50195	0.518526
1.50317	0.518526
1.50438	0.541361
1.5056	0.491381
1.50682	0.551415
1.50804	0.486452
1.50925	0.564677
1.51047	0.521751
1.51169	0.458555
1.5129	0.493543
1.51412	0.509314
1.51534	0.578814
1.51655	0.577869
1.51777	0.556924
1.51899	0.557772
1.52021	0.536417
1.52142	0.51559
1.52264	0.561472
1.52386	0.498798
1.52507	0.504624
1.52629	0.500508
1.52751	0.546942
1.52872	0.572106
1.52994	0.57988
1.53116	0.623288
1.53237	0.621534
1.53359	0.688324
1.5348	0.638625
1.53602	0.638649
1.53724	0.68972
1.53845	0.64883
1.53967	0.683649
1.54089	0.628586
1.5421	0.718987
1.54332	0.578572
1.54453	0.65618
1.54575	0.817266
1.54697	0.816048
1.54818	0.90051
1.5494	0.861631
1.55061	1.00775
1.55183	0.828121
1.55305	0.770964
1.55426	0.845275
1.55548	0.913162
1.55669	0.891609
1.55791	0.981933
1.55913	0.863628
1.56034	0.862613
